tau,DC,PAR,ELN,FARC,iota,iota_post,alpha,gamma,alpha_R,gamma_R,alpha_N,gamma_N,Delta_H,V,d,a_S,a_S_t,a_F,a_F_t,a_K,a_K_t,match_S,match_F,match_K,U_rel,IR_K,IC_K,IR_F,Gamma_formal,IR_K_gap_E,IC_K_gap_E_min,IR_F_gap_E,IR_K_true,IR_K_true_gap,IR_K_true_U_rel,IR_K_true_V_cont,IR_K_true_U_kill,IC_F,IC_S,m,kh(DC),kh(PAR),kh(ELN),kh(FARC)
175,1,2.954130769535251e-26,1.238627125004613e-18,7.035783561730974e-64,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,6.162975822039155e-33,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
176,1,2.5976005266563165e-26,1.2152282652784704e-18,5.585083790971719e-64,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,6.162975822039155e-33,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
177,1,2.2840994602099844e-26,1.1922714325557989e-18,4.4335020653336806e-64,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,6.162975822039155e-33,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
178,1,2.0084344342380895e-26,1.1697482765206392e-18,3.519363593987939e-64,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,0,1,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
179,1,1.0699596223064416e-26,6.480868561771009e-19,9.328347319789974e-65,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,3.0814879110195774e-33,1,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
180,1,5.8717315260151566e-27,3.9294624728543366e-19,1.6690693233077458e-65,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,1.5407439555097887e-33,1,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
181,1,2.3192755750379546e-27,2.2577727496906424e-19,2.6105893790368394e-66,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,1.5407439555097887e-33,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
182,1,2.039365189012101e-27,2.2151212472351946e-19,2.0723150872700314e-66,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,0,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
183,1,1.7932368274461313e-27,2.1732754727530146e-19,1.645026925878103e-66,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,0,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,death,-1,-1,-1,-1
184,1,1.0282450828867042e-26,3.685703604746479e-19,1.0795884859918883e-66,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,1.5407439555097887e-33,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
185,1,9.041475063944012e-27,3.616077112722675e-19,8.56989431401663e-67,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,1.5407439555097887e-33,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
