tau,DC,PAR,ELN,FARC,iota,iota_post,alpha,gamma,alpha_R,gamma_R,alpha_N,gamma_N,Delta_H,V,d,a_S,a_S_t,a_F,a_F_t,a_K,a_K_t,match_S,match_F,match_K,U_rel,IR_K,IC_K,IR_F,Gamma_formal,IR_K_gap_E,IC_K_gap_E_min,IR_F_gap_E,IR_K_true,IR_K_true_gap,IR_K_true_U_rel,IR_K_true_V_cont,IR_K_true_U_kill,IC_F,IC_S,m,kh(DC),kh(PAR),kh(ELN),kh(FARC)
44,0.9999898522072483,9.988437231565296e-8,0.000010047908379422963,2.062034339829172e-18,0.9999898522072483,0.9999951232656163,0.7800013,0.80000177,0.78,0.8,0.25,0,0.0000012738394753852422,1,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180080699969416,0,20000002.599999998,true,16.18,-2.37,-693933.77,-18.55,true,true,continue,-1,-1,-1,-1
45,0.9999951232656163,3.121835468127322e-8,0.000004845516028989483,1.9286507827505084e-19,0.9999951232656163,0.9999938599575489,0.78000063,0.80000085,0.78,0.8,0.25,0,6.115422170609077e-7,0,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180038607347985,0,20000002.599999998,true,16.18,-2.37,-693933.1,-18.55,true,true,rescue,-1,-1,-1,-1
46,0.9999938599575489,9.556874200149572e-8,0.00000604447370907673,1.3040060369385089e-18,0.9999938599575489,0.9999972425553719,0.78000079,0.80000107,0.78,0.8,0.25,0,7.720682237066849e-7,1,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180049194203846,0,20000002.599999998,true,16.18,-2.37,-693933.26,-18.55,true,true,continue,-1,-1,-1,-1
47,0.9999972425553719,3.685203484362544e-8,0.000002720592593171797,1.0293385790682644e-19,0.9999972425553719,0.9999973134409763,0.78000035,0.80000048,0.78,0.8,0.25,0,3.4650264016354706e-7,0,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180022029570008,0,20000002.599999998,true,16.18,-2.37,-693932.82,-18.55,true,true,continue,-1,-1,-1,-1
48,0.9999973134409763,3.122521306546765e-8,0.000002655333810643521,7.640350102599177e-20,0.9999973134409763,0.9999973819020832,0.78000034,0.80000047,0.78,0.8,0.25,0,3.374198295014928e-7,0,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180021414542804,0,20000002.599999998,true,16.18,-2.37,-693932.81,-18.55,true,true,continue,-1,-1,-1,-1
49,0.9999973819020832,2.6457533158417053e-8,0.000002591640383655563,5.671112628092947e-20,0.9999973819020832,0.9999990048047833,0.78000034,0.80000046,0.78,0.8,0.25,0,3.286726495862257e-7,1,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180020827491568,0,20000002.599999998,true,16.18,-2.37,-693932.81,-18.55,true,true,continue,-1,-1,-1,-1
50,0.9999990048047833,6.852917452446502e-9,9.883422992723687e-7,2.6178987120719574e-21,0.9999990048047833,0.9999990295585056,0.78000013,0.80000017,0.78,0.8,0.25,0,1.248155197839503e-7,0,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.18000788362132,0,20000002.599999998,true,16.18,-2.37,-693932.6,-18.55,true,true,continue,-1,-1,-1,-1
51,0.9999990295585057,5.806567571244674e-9,9.646349267237904e-7,1.9431572893671747e-21,0.9999990295585057,0.999999053583796,0.78000012,0.80000017,0.78,0.8,0.25,0,1.2167814714281533e-7,0,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180007678412103,0,20000002.599999998,true,16.18,-2.37,-693932.59,-18.55,true,true,continue,-1,-1,-1,-1
52,0.999999053583796,4.919981484671151e-9,9.414962224352538e-7,1.442324808292133e-21,0.999999053583796,0.9999993624438434,0.78000012,0.80000017,0.78,0.8,0.25,0,1.1863792942958193e-7,1,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.18000748058421,0,20000002.599999998,true,16.18,-2.37,-693932.59,-18.55,true,true,continue,-1,-1,-1,-1
53,0.9999993624438434,2.4539216821390855e-9,6.351022348630969e-7,4.48874981142863e-22,0.9999993624438434,0.9999994612281433,0.78000008,0.80000011,0.78,0.8,0.25,0,7.988857244521102e-8,1,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.18000503036115,0,20000002.599999998,true,16.18,-2.37,-693932.55,-18.55,true,true,continue,-1,-1,-1,-1
54,0.9999994612281433,1.8395525617649358e-9,5.3693230414543e-7,7.009051190796984e-23,0.9999994612281433,0.9999998422224327,0.78000007,0.80000009,0.78,0.8,0.25,0,6.750169703034443e-8,1,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.18000424850882,0,20000002.599999998,true,16.18,-2.37,-693932.54,-18.55,true,true,continue,-1,-1,-1,-1
55,0.9999998422224328,3.2144945934717907e-10,1.5745611776981957e-7,2.208250871948834e-24,0.9999998422224328,0.9999998460484169,0.78000002,0.80000003,0.78,0.8,0.25,0,1.975951141904582e-8,0,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.18000124190019,0,20000002.599999998,true,16.18,-2.37,-693932.49,-18.55,true,true,continue,-1,-1,-1,-1
56,0.999999846048417,2.7236839085598053e-10,1.536792146420422e-7,1.6390929291350263e-24,0.999999846048417,0.9999998497763105,0.78000002,0.80000003,0.78,0.8,0.25,0,1.9278812134954136e-8,0,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180001211355282,0,20000002.599999998,true,16.18,-2.37,-693932.49,-18.55,true,true,continue,-1,-1,-1,-1
57,0.9999998497763105,2.307813504519754e-10,1.4999290815237596e-7,1.2166306211874815e-24,0.9999998497763105,0.9999998997194997,0.78000002,0.80000003,0.78,0.8,0.25,0,1.8810670568122457e-8,1,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180001181658394,0,20000002.599999998,true,16.18,-2.37,-693932.49,-18.55,true,true,continue,-1,-1,-1,-1
58,0.9999998997194997,1.2043749148908016e-10,1.0016006294046009e-7,7.541732117939367e-26,0.9999998997194997,0.999999874687819,0.78000001,0.80000002,0.78,0.8,0.25,0,1.2555638015491499e-8,0,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180000788455686,0,20000002.599999998,true,16.18,-2.37,-693932.48,-18.55,true,true,rescue,-1,-1,-1,-1
59,0.999999874687819,3.6869576708319914e-10,1.249434851888712e-7,5.099149349667428e-25,0.999999874687819,0.9999998777411361,0.78000002,0.80000002,0.78,0.8,0.25,0,1.5697906838942025e-8,0,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180000987538744,0,20000002.599999998,true,16.18,-2.37,-693932.49,-18.55,true,true,continue,-1,-1,-1,-1
60,0.9999998777411361,3.1240081510305325e-10,1.2194646319718793e-7,3.7848868565427456e-25,0.9999998777411361,0.999999880713968,0.78000002,0.80000002,0.78,0.8,0.25,0,1.531364435910812e-8,0,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180000962984177,0,20000002.599999998,true,16.18,-2.37,-693932.49,-18.55,true,true,continue,-1,-1,-1,-1
61,0.9999998807139677,2.6470135537838774e-10,1.1902133082510481e-7,2.8093643730226027e-25,0.9999998807139677,0.9999998836093513,0.78000002,0.80000002,0.78,0.8,0.25,0,1.4939777612487233e-8,0,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180000939150894,0,20000002.599999998,true,16.18,-2.37,-693932.49,-18.55,true,true,continue,-1,-1,-1,-1
62,0.9999998836093514,2.2428497028926021e-10,1.1616636365562569e-7,2.085274534998054e-25,0.9999998836093514,0.9999998864300818,0.78000002,0.80000002,0.78,0.8,0.25,0,1.4575876948759471e-8,0,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.1800009160014,0,20000002.599999998,true,16.18,-2.37,-693932.49,-18.55,true,true,continue,-1,-1,-1,-1
63,0.9999998864300818,1.900396309720074e-10,1.133798786353116e-7,1.5478127108546998e-25,0.9999998864300818,0.9999999815033677,0.78000001,0.80000002,0.78,0.8,0.25,0,1.4221551098328394e-8,1,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.18000089350217,0,20000002.599999998,true,16.18,-2.37,-693932.48,-18.55,true,true,continue,-1,-1,-1,-1
